State_yyyy-yy,Domestic,Commercial,Industrial (Low & Med. Voltage),Industrial (High Voltage),Public Lighting,Traction,Agriculture,Public Water Works & Sewage Pumping,Miscellaneous,Total Energy Sold(GWH)
Meghalaya-2018-19,442.664,93.3,9.435,568.833395,0.2,0,0.127,40.811,94.596,1249.966395
Manipur-2018-19,376.78,66.14,20.86,9.04,9.89,0,2.12,21.18,106.77,612.78
Assam-2018-19,3677.500709,1096.949178,112.2254292,2919.085628,15.97386981,0,46.71478866,86.16288911,702.9839281,8657.59642
Arunachal Pradesh-2018-19,185.719187,51.018432,4.378461086,116.501214,10.119287,0,0.030427,0,78.776335,446.543343
A & N Islands-2018-19,133.864789,60.290483,20.986866,0,6.71658,0,1.023458,0,31.793074,254.67525
Sikkim-2018-19,107.46,40.91,4.89,197.67,0.25,0,0,0,29.63,380.81
West Bengal $-2018-19,15478.09852,6280.371203,2279.449984,18887.25477,692.959853,1467.939967,1515.551,955.5695929,2642.163929,50199.35882
Kerala-2018-19,10927.00532,2455.893823,1186.047008,4206.054305,381.21378,321.071991,348.667269,0.16,2456.76939,22282.88289
Tamil Nadu-2018-19,26996.338,10281.762,8600.256,33001.13537,1140.8885,903.4,13077.16,1140.8885,3115.194,98257.02237
Puducherry-2018-19,723.629,212.845,159.59,1613.296244,27.58,0,59.97,0,19.294,2816.204244
Lakshadweep-2018-19,35.965037,11.780381,0.384575,0,0.667293,0,0,0,0.108437,48.905723
Bihar-2018-19,11505.49,2067.82,553.88,2923.798,62.15,1248.97,726.71,104.77,2004.21,21197.798
Jharkhand $-2018-19,5683.378059,808.8274534,273.4581488,18482.87376,110.326327,757.83,210.359083,0,487.7454,26814.79823
Odisha-2018-19,7175.216405,1833.477,384.3007,57825.85454,119.353219,1203.341203,558.8918,154.536382,949.710017,70204.68127
Chhattisgarh-2019-20,5605.741252,1563.45766,557.613914,33018.31053,88.833417,987.518347,5082.346785,374.404455,0,47278.22636
Gujarat-2019-20,16100.60154,5004.491719,16615.51533,61410.42978,273.7571591,701.69,11989.83426,2041.002322,213.498456,114350.8206
Madhya Pradesh-2019-20,14959.68888,3254.319395,1342.353084,26138.6321,403.7119658,2213.61,23016.93711,1640.8323,1653.861947,74623.94678
Maharashtra-2019-20,29807.88916,15739.56325,9962.110911,39188.40768,1971.599266,2659.731532,29291.23029,2871.738253,1758.570386,133250.8407
Daman & Diu-2019-20,146.33292,49.752624,204.612065,2067.517578,6.310647,0,4.344895,2.79654,14.488602,2496.155871
D & N Haveli-2019-20,154.02,36.6,219.44,5883.379,3.06,0,5.25,5.01,3.75,6310.509
Goa-2019-20,1208.13,616.64,132.4098,2379.040857,2.9,0,27.29,0,53.28,4419.690657
Uttarakhand-2019-20,3113.847,1396.932,311.937,6969.418941,46.448,29.083,191.351,453.033,373.485,12885.53494
Uttar Pradesh-2019-20,42249.049,6697.846,4371.558,22651.61543,873.254,1683.94,18200.05,1747.561,7779.54,106254.4134
Rajasthan-2019-20,12660.81663,4813.257445,3011.192,21479.27805,304.75568,381.88,25664.74507,2370.566452,1436.722852,72123.21417
Punjab-2019-20,13612.8012,3795.500376,4136.012627,16734.16111,139.941449,258.22,11581.56,0,1489.811132,51748.00789
Jammu & Kashmir-2019-20,4445.6,1401.45,650.3308975,1404.45815,62.85,22.82,368,748,1525,10628.50905
Himachal Pradesh-2019-20,2193.693,623,89.574,5360.024717,10.745,0,56.728,560.467,356.487,9250.718717
Haryana-2019-20,11077.80918,4875.916009,1800.715947,15529.13503,223.0582806,385.29,10371.15792,1117.89522,1366.382274,46747.35986
Delhi-2019-20,16461.49218,7653.320453,3008.698273,384.7820867,353.9257527,221,37.3579865,389.2021713,1303.181011,29812.95992
Chandigarh-2019-20,757.263,474.477,122.8,139.426,14.794,0,1.015,9.593,86.128,1605.496
Jharkhand $-2019-20,5981.501589,994.9937006,282.9071282,19773.07035,127.869014,1003.419933,193.905269,0,432.288954,28789.95594
Andhra Pradesh-2019-20,15840.34957,4929.562225,2832.176297,20897.35889,296.7125315,1595.227368,15338.11843,955.318432,2869.04214,65553.86588
Telangana-2019-20,12382.38148,6187.45049,1193.445875,15289.50793,340.8861818,785.660563,20820.53505,867.8815807,4275.704086,62143.45324
Karnataka-2019-20,13853.00605,6861.974053,1921.701335,22347.46628,1128.068408,138.610131,21823.06744,3932.422344,1132.918613,73139.23466
Tripura-2019-20,531.074946,71.828906,17.23229706,22.88488558,48.08975697,0,34.37881021,66.48174592,122.2483038,914.2196515
